Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
AVOD,-1.0380695058606009,25.74,Temel Tüketim,2.859999895095825,2.890000104904175
A1CAP,-3.3112602300249714,98.54999893333334,Finans,4.380000114440918,4.53000020980835
ACSEL,-2.80289196825482,38.41942613333333,Hammadde,107.5,110.5999984741211
ADESE,-4.433493371317446,65.184,Gayrimenkul,1.940000057220459,2.0299999713897705
AFYON,2.080344121825672,189.73332480000002,Hammadde,14.229999542236328,13.9399995803833
AHSGY,-4.480003356933594,155.22000213333334,Diğer,23.8799991607666,25.0
AKENR,-3.4482743501001947,306.24890880000004,Kamu Hizmetleri,12.600000381469727,13.050000190734863
ATEKS,-0.2640223739170792,126.92400640000001,Tüketim,151.10000610351562,151.5
ALCAR,-1.3230429988974641,322.19999573333337,Sanayi,895.0,907.0
ALCTL,-6.625252759903312,174.54061226666667,Teknoloji,135.3000030517578,144.89999389648438
ALKIM,-4.368357424962329,162.00000853333333,Hammadde,16.200000762939453,16.940000534057617
ALKA,-2.644836733420465,189.38499413333332,Hammadde,7.730000019073486,7.940000057220459
AYCES,1.8599562363238513,387.91666346666665,Tüketim,465.5,457.0
ALKLC,-0.1321034168436644,112.896,Temel Tüketim,30.239999771118164,30.280000686645508
ALMAD,-3.316329385478557,69.48333226666666,Enerji,7.579999923706055,7.840000152587891
ALVES,-2.5786154543946336,165.22666666666666,Sanayi,30.979999542236328,31.799999237060547
ASUZU,-2.8596213241971005,470.8199765333334,Tüketim,56.04999923706055,57.70000076293945
ANGEN,-2.025502667927167,95.77333759999999,Sağlık,13.0600004196167,13.329999923706055
ANELE,-1.6973176730212356,122.78332586666666,Sanayi,13.899999618530273,14.140000343322754
ARENA,0.8968644384842411,149.99999146666667,Teknoloji,45.0,44.599998474121094
ARSAN,-1.715439746836515,132.75554133333333,Tüketim,19.479999542236328,19.81999969482422
ARTMS,-2.0596588311393633,64.3533312,Tüketim,27.579999923706055,28.15999984741211
ARZUM,-1.9843652456975982,35.00153173333334,Teknoloji,32.599998474121094,33.2599983215332
AVHOL,-2.701145538267498,42.04283306666667,Finans,33.86000061035156,34.79999923706055
AYEN,-3.1884096230160033,247.15999573333332,Kamu Hizmetleri,26.719999313354492,27.600000381469727
BAGFS,-3.8606389061229756,91.88999679999999,Hammadde,20.420000076293945,21.239999771118164
BAHKM,-1.375572850581455,86.7533312,Diğer,47.31999969482422,47.97999954223633
BAKAB,1.9108292635635724,76.8,Tüketim,32.0,31.399999618530273
BNTAS,-3.2771570362231923,41.6429824,Tüketim,10.329999923706055,10.680000305175781
BANVT,-0.3546099290780142,936.8914602666666,Temel Tüketim,281.0,282.0
