Hisse,Değişim (%),Piyasa Değeri (mn $),Sektör,Son Kapanış,Önceki Kapanış
BINHO,-2.4679170779861797,386.96666453333336,Sanayi,247.0,253.25
ADEL,-3.333330242722041,241.16401493333333,Sanayi,27.84000015258789,28.799999237060547
ADGYO,-4.413795471191406,271.37879039999996,Gayrimenkul,27.719999313354492,29.0
AGHOL,-2.4332810047095763,2522.616900266667,Sanayi,310.75,318.5
AGESA,-0.41667090521918404,860.3999573333334,Finans,143.39999389648438,144.0
AGROT,-2.5450765326142446,367.59999146666667,Sanayi,9.1899995803833,9.430000305175781
AHGAZ,0.050353618199908565,1722.0668074666667,Kamu Hizmetleri,19.8700008392334,19.860000610351562
AKBNK,-1.2195052453833148,11232.000955733334,Finans,64.80000305175781,65.5999984741211
AKCNS,-2.947721335817851,1113.5834112,Hammadde,174.5,179.8000030517578
AKFGY,-1.570679157803206,244.39999146666668,Gayrimenkul,1.8799999952316284,1.909999966621399
AKFIS,-4.761904361436843,458.34048853333337,Diğer,21.600000381469727,22.68000030517578
AKFYE,-3.385872458385448,660.3229183999999,Kamu Hizmetleri,16.549999237060547,17.1299991607666
AKSGY,-1.1527366433206554,552.2300245333333,Gayrimenkul,6.860000133514404,6.940000057220459
AKSA,-0.4580184570190646,1688.6799018666666,Tüketim,13.039999961853027,13.100000381469727
AKSEN,-2.3643230501178643,1485.5064234666668,Kamu Hizmetleri,36.34000015258789,37.220001220703125
AKGRT,-4.551723085600754,371.8346752,Finans,6.920000076293945,7.25
ALGYO,-2.825163540400968,171.6840448,Gayrimenkul,18.229999542236328,18.760000228881836
ALARK,-4.1358005853346835,1124.7007744,Sanayi,77.6500015258789,81.0
ALBRK,-2.9761877307950457,543.3333418666667,Finans,6.519999980926514,6.71999979019165
ALFAS,-9.937405535501698,705.946624,Teknoloji,57.54999923706055,63.900001525878906
ALTNY,-3.9716355344082444,530.9801130666667,Sanayi,67.69999694824219,70.5
ANSGR,-0.8576329443279932,1926.6666495999998,Finans,115.5999984741211,116.5999984741211
AEFES,-3.06422925265471,3246.7091456,Temel Tüketim,164.5,169.6999969482422
ANHYT,-0.856328771594145,1493.5333546666668,Finans,104.19999694824219,105.0999984741211
